week_start,cluster,held_tickers,target_weight,current_weight,one_month_return,three_month_return,six_month_return,above_20d_ma,above_60d_ma,drawdown_from_60d_high,relative_rank,flow_signal,macro_signal,cluster_score,decision,proposed_action,notes,price_data_as_of,data_source
2026-06-01,AI & Semiconductors,A395160;A133690;A497570,26,26,-0.50%,-20.29%,22.42%,Y,N,-21.57%,6/8,Manual check,Manual check,29.6,Cut,Momentum weak; prepare reduction or replacement candidate,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,AI Power Infrastructure,A487230,4,4,-1.49%,-26.12%,-3.83%,Y,N,-29.70%,8/8,Manual check,Manual check,10.5,Cut,Momentum weak; prepare reduction or replacement candidate,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,Korea Cyclical Alpha,A466920;A449450,7,7,-3.41%,-23.66%,-27.07%,N,N,-16.92%,7/8,Manual check,Manual check,4.3,Cut,Momentum weak; prepare reduction or replacement candidate,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,Core Equity Beta,A069500;A360750,23,23,-0.39%,-15.27%,12.91%,Y,N,-15.98%,5/8,Manual check,Manual check,33.9,Cut,Momentum weak; prepare reduction or replacement candidate,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,Commodity Hedge,A411060;A261220,10,10,5.07%,10.90%,0.20%,N,Y,-5.43%,1/8,Manual check,Manual check,84.6,Add,Positive momentum confirmed; review category limits before adding,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,Short-Duration Safety,A459580;A423160,13,13,0.00%,0.00%,0.06%,Y,Y,-0.05%,2/8,Manual check,Manual check,95.7,Hold,Momentum acceptable; keep current allocation,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,Domestic Carry,A157450;A114260;A273130,13,13,0.00%,-0.03%,-1.27%,Y,Y,-0.40%,3/8,Manual check,Manual check,66.9,Hold,Momentum acceptable; keep current allocation,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
2026-06-01,USD Safety,A329750,4,4,-0.61%,-8.75%,-5.32%,Y,N,-10.63%,4/8,Manual check,Manual check,27.6,Watch,Momentum mixed; review next weekly update before trading,Auto-updated from Yahoo Finance chart API as of 2026-09-18,2026-09-18,Yahoo Finance chart API
